study_no,reference,lat,long,climclass,reps,reps_pooled,cropseq_simp,cropseq_div,checkcrop,rotlength_simp,rotlength_div,speciesno_simp,speciesno_div,data_type,sys_tillage,sys_weedmgmt,weedmsmt_unit,sbmst_mtd,peren_divYN,fallow_simpYN,study_age,CSD_simp,CSD_div,CSD2_simp,CSD2_div,PISD_simp,PISD_div,bioLRR,denLRR,sbLRR,maxstudyage,reps_pooledyrs,data_type2,sys_weedmgmt2,sys_weedmgmt3,climclasslat,climclasslat2,speciesno_rat,speciesno_diff,CSD_diff,CSD_rat,mono_YN,wgt
3,"Goplen et al., 2016",44.002881,-92.461605,D,4,4,M,M-Sb-M,M,1,3,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,6,0,0,NA,0.31015492830383945,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,2,1,1,6,Y,2
3,"Goplen et al., 2016",44.002881,-92.461605,D,4,4,M,Sb-A-M,M,1,3,1,3,RM,tilled,herbicides,single species,NA,Y,N,3,0,4,1,9,0,0,NA,-0.7884573603642702,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
3,"Goplen et al., 2016",44.002881,-92.461605,D,4,4,M,Sb-M-M,M,1,3,1,2,RM,tilled,herbicides,single species,NA,N,N,3,0,1,1,6,0,0,NA,-2.3978952727983707,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,2,1,1,6,Y,2
3,"Goplen et al., 2016",44.002881,-92.461605,D,4,4,M,Sb-W-M,M,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,3,0,4,1,9,0,0,NA,-0.7884573603642702,NA,3,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
4,"Ruisi et al., 2014",37.300391,13.57948,C,2,2,W,BCl-W,W,1,2,1,2,AVG,NT,herbicides,community,emergence,Y,N,17.5,0,1,1,4,0,0,NA,NA,-0.8320506716149344,17.5,2,AVG,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1
4,"Ruisi et al., 2014",37.300391,13.57948,C,2,2,W,BCl-W,W,1,2,1,2,AVG,tilled,herb/mech,community,emergence,Y,N,17.5,0,1,1,4,0,0,NA,NA,-1.180266142024949,17.5,2,AVG,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1
4,"Ruisi et al., 2014",37.300391,13.57948,C,2,2,W,Fa-W,W,1,2,1,2,AVG,NT,herbicides,community,emergence,N,N,17.5,0,1,1,4,0,0,NA,NA,-0.3346327185746097,17.5,2,AVG,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1
4,"Ruisi et al., 2014",37.300391,13.57948,C,2,2,W,Fa-W,W,1,2,1,2,AVG,tilled,herb/mech,community,emergence,N,N,17.5,0,1,1,4,0,0,NA,NA,-0.6001353239920966,17.5,2,AVG,herb_Y,herb,temperate,temperate,2,1,1,4,Y,1
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,3,F-W,C-W,W,2,2,1,2,RM,NT,none,community,NA,N,Y,2,0,1,2,4,0,0,-0.616186139423817,-2.116075674859616,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,12,F-W,C-W,W,2,2,1,2,RM,tilled,none,community,NA,N,Y,2,0,1,2,4,0,0,-0.16251892949777494,0.5671064596645803,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,3,F-W,Mb-W,W,2,2,1,2,RM,NT,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,0.15984870094189604,-1.02746346952609,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,12,F-W,Mb-W,W,2,2,1,2,RM,tilled,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,-0.2876820724517809,0.07598590697792205,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,3,F-W,Ri-W,W,2,2,1,2,RM,NT,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,-1.0986122886681098,-1.5585943594528262,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,12,F-W,Ri-W,W,2,2,1,2,RM,tilled,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,0.04879016416943205,-0.11122563511022437,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,3,F-W,So-W,W,2,2,1,2,RM,NT,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,-1.875141078167106,-2.583098675967214,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
5,"Shahzad et al., 2016",30.15393,71.524782,B,3,12,F-W,So-W,W,2,2,1,2,RM,tilled,none,community,NA,N,Y,2,0,1,2,4,0,1.4142135623730951,-0.5978370007556204,-0.5020919437972361,NA,2,3,RM-last,herb_N,none,sub-tropical,sub/tropical,2,1,1,2,Y,1.5
6,"Hunt et al., 2017",42.020898,-93.777058,D,4,8,M-Sb,O/A-A-M-Sb,Sb,2,4,2,4,RM,tilled,herb/mech,community,NA,Y,N,pooled,0,4,4,16,1.4142135623730951,7,0.32547749613286686,NA,NA,13,20,RM-avg,herb_Y,herb,temperate,temperate,2,2,4,4,N,10
6,"Hunt et al., 2017",42.020898,-93.777058,D,4,8,M-Sb,O/RCl-M-Sb,Sb,2,3,2,4,RM,tilled,herbicides,community,NA,Y,N,pooled,0,2,4,12,1.4142135623730951,1,-0.05880856345483819,NA,NA,13,28,RM-avg,herb_Y,herb,temperate,temperate,2,2,2,3,N,14
6,"Hunt et al., 2017",42.020898,-93.777058,D,4,8,Sb-M,Sb-O/A-A-M,M,2,4,2,4,RM,tilled,herb/mech,community,NA,Y,N,pooled,0,4,4,16,1.4142135623730951,7,1.2796365068191706,NA,NA,13,20,RM-avg,herb_Y,herb,temperate,temperate,2,2,4,4,N,10
6,"Hunt et al., 2017",42.020898,-93.777058,D,4,8,Sb-M,Sb-O/RCl-M,M,2,3,2,4,RM,tilled,herbicides,community,NA,Y,N,pooled,0,2,4,12,1.4142135623730951,1,0.885932894488111,NA,NA,13,28,RM-avg,herb_Y,herb,temperate,temperate,2,2,2,3,N,14
7,"Harker et al., 2015",50.046952,-100.029067,D,4,4,sR,Fp-sW-sR,sR,1,3,1,3,RM,NT,herbicides,community,NA,N,N,6,0,4,1,9,0,0,NA,-1.7525387560747736,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
7,"Harker et al., 2015",50.046952,-100.029067,D,4,4,sR,sW-sR-sR,sR,1,3,1,2,RM,NT,herbicides,community,NA,N,N,6,0,1,1,6,0,0,NA,-0.5764229062518039,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,2,1,1,6,Y,2
7,"Harker et al., 2015",50.046952,-100.029067,D,4,4,sR,sW-sW-sR,sR,1,3,1,2,RM,NT,herbicides,community,NA,N,N,6,0,2,1,6,0,0,NA,-0.34181984294780837,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,2,1,2,6,Y,2
7,"Harker et al., 2015",52.519938,-113.78395,D,4,4,sR,Fp-sW-sR,sR,1,3,1,3,RM,NT,herbicides,community,NA,N,N,6,0,4,1,9,0,0,NA,-0.980266031369127,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
7,"Harker et al., 2015",52.519938,-113.78395,D,4,4,sR,sW-sR-sR,sR,1,3,1,2,RM,NT,herbicides,community,NA,N,N,6,0,1,1,6,0,0,NA,-0.7969439742415888,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,2,1,1,6,Y,2
7,"Harker et al., 2015",52.519938,-113.78395,D,4,4,sR,sW-sW-sR,sR,1,3,1,2,RM,NT,herbicides,community,NA,N,N,6,0,2,1,6,0,0,NA,-0.7369077607975294,NA,6,4,RM-last,herb_Y,herb,temperate,temperate,2,1,2,6,Y,2
8,"Mock et al., 2012",40.415151,-86.940704,D,6,18,Sb,M-Sb,Sb,1,2,1,2,LAST,NT,herbicides,community,NA,N,N,3,0,1,1,4,0,0,NA,-1.0575106129825578,NA,3,6,LAST,herb_Y,herb,temperate,temperate,2,1,1,4,Y,3
8,"Mock et al., 2012",40.415151,-86.940704,D,6,6,Sb,M-Sb,Sb,1,2,1,2,LAST,NT,none,community,NA,N,N,3,0,1,1,4,0,0,NA,-1.6314168191528755,NA,3,6,LAST,herb_N,none,temperate,temperate,2,1,1,4,Y,3
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,M-Sb,sTr/A-A-M-Sb,Sb,2,4,2,4,RM,tilled,IC,community,NA,Y,N,4,0,4,4,16,1.4142135623730951,7,NA,0.030771658666753687,NA,4,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,M-Sb,sTr/RCl-M-Sb,Sb,2,3,2,4,RM,tilled,IC,community,NA,Y,N,4,0,2,4,12,1.4142135623730951,1,NA,-0.24686007793152578,NA,4,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/A-A-M,M,2,4,2,4,RM,tilled,IC,community,NA,Y,N,4,0,4,4,16,1.4142135623730951,7,NA,0.10536051565782635,NA,4,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/RCl-M,M,2,3,2,4,RM,tilled,IC,community,NA,Y,N,4,0,2,4,12,1.4142135623730951,1,NA,0.20067069546215124,NA,4,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,M-Sb,sTr/RCl-M-Sb,Sb,2,3,2,4,RM,tilled,IC,community,extraction,Y,N,5,0,2,4,12,1.4142135623730951,1,NA,NA,0.6681218129930049,5,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,M-Sb,sTr/RCl-M-Sb,Sb,2,4,2,4,RM,tilled,IC,community,extraction,Y,N,5,0,4,4,16,1.4142135623730951,7,NA,NA,0.06501369339645237,5,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/RCl-M,M,2,3,2,4,RM,tilled,IC,community,extraction,Y,N,5,0,2,4,12,1.4142135623730951,1,NA,NA,0.42264993286226527,5,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
9,"Liebman et al., 2014",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/RCl-M,M,2,4,2,4,RM,tilled,IC,community,extraction,Y,N,5,0,4,4,16,1.4142135623730951,7,NA,NA,-0.23656657164635045,5,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
10,"Harker et al., 2009",50.046952,-100.029067,D,4,48,sB,sR-sB-P-sB,sB,1,4,1,3,RM,NT,herbicides,single species,NA,N,N,5,0,4,1,12,0,0,-1.0487580902812075,-0.3196198343008656,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,12,Y,2
11,"Koocheki et al., 2009",36.262176,59.612759,B,3,3,W,Be-W,W,1,2,1,2,LAST,tilled,IC,community,germination,N,N,6,0,1,1,4,0,9.899494936611665,NA,-0.15718558352241238,-0.2446367960882969,6,3,LAST,IC,IC,temperate,temperate,2,1,1,4,Y,1.5
11,"Koocheki et al., 2009",36.262176,59.612759,B,3,3,W,M-W,W,1,2,1,2,LAST,tilled,IC,community,germination,N,N,6,0,1,1,4,0,11.313708498984761,NA,-0.5209779952300087,-0.10412474888391517,6,3,LAST,IC,IC,temperate,temperate,2,1,1,4,Y,1.5
12,"Davis et al., 2009",39.034491,-85.512745,C,5,10,Sb,M-Sb,Sb,1,2,1,2,RM,NT,herbicides,single species,NA,N,N,4,0,1,1,4,0,1.4142135623730951,NA,-0.99714282850325,NA,4,5,RM-last,herb_Y,herb,temperate,temperate,2,1,1,4,Y,2.5
13,"Gulden et al., 2009",42.207291,-82.718544,D,4,8,M-Sb,W-M-Sb,Sb,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,0.26933293378358436,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",42.207291,-82.718544,D,4,8,Sb-M,Sb-W-M,M,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,0,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",42.379681,-81.84664,D,4,8,M-Sb,W-M-Sb,Sb,2,3,2,3,AVG,NT,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.456758402495715,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",42.379681,-81.84664,D,4,8,M-Sb,W-M-Sb,Sb,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.1251631429540059,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",42.379681,-81.84664,D,4,8,Sb-M,Sb-W-M,M,2,3,2,3,AVG,NT,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.6204759902625863,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",42.379681,-81.84664,D,4,8,Sb-M,Sb-W-M,M,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.055673002426241756,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",43.289192,-81.494523,D,4,8,M-Sb,W-M-Sb,Sb,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.11869586091374319,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",43.289192,-81.494523,D,4,8,Sb-M,Sb-W-M,M,2,3,2,3,AVG,tilled,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,0.636889377909851,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",43.80372,-81.670344,D,4,8,M-Sb,W-M-Sb,Sb,2,3,2,3,AVG,NT,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,0,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
13,"Gulden et al., 2009",43.80372,-81.670344,D,4,8,Sb-M,Sb-W-M,M,2,3,2,3,AVG,NT,herbicides,community,NA,N,N,3.5,0,1,4,9,1.4142135623730951,3,NA,-0.9829821063728272,NA,3.5,4,AVG,herb_Y,herb,temperate,temperate,1.5,1,1,2.25,N,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,W-sB-P-W,W,1,3,1,3,RM,NT,herbicides,single species,NA,N,N,2,0,4,1,9,0,5.715476066494082,NA,-0.8979415932059586,NA,2,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,8,W,W-sB-P-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,2,0,4,1,9,0,5.715476066494082,NA,0.4428526401797847,NA,2,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,B-R-W-W,W,1,3,1,3,RM,NT,herbicides,single species,NA,N,N,5,0,4,1,9,0,0.816496580927726,NA,0,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,8,W,B-R-W-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,5,0,4,1,9,0,0.816496580927726,NA,-0.6691939395374525,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,R-B-R-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,5,0,4,1,9,0,0.816496580927726,NA,-0.3468709438421114,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,W-sB-P-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,5,0,4,1,9,0,5.715476066494082,NA,1.3294187127278885,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,W-Sb-P-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,5,0,4,1,9,0,5.715476066494082,NA,-2.068012845856213,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,W-sB-R-W,W,1,3,1,3,RM,NT,herbicides,single species,NA,N,N,5,0,4,1,9,0,5.715476066494082,NA,NA,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
15,"Melander et al., 2008",55.312867,11.394974,C,4,4,W,W-sB-R-W,W,1,3,1,3,RM,tilled,herbicides,single species,NA,N,N,5,0,4,1,9,0,5.715476066494082,NA,-0.34536118403845895,NA,5,4,RM-last,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,M-Mi-W,W,2,3,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,9,0,3.605551275463989,NA,0.6778797084291569,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,4.5,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,Ma-Su-sW-W,W,2,4,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,12,0,3.1091263510296048,NA,0.28768207245178085,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,6,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,Mi-W,W,2,2,1,2,LAST,tilled,herbicides,community,NA,N,Y,8,0,1,2,4,0,4.242640687119285,NA,1.91959284073794,NA,8,4,LAST,herb_Y,herb,temperate,temperate,2,1,1,2,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,P-Mi-W,W,2,3,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,9,0,1.7320508075688772,NA,0.5978370007556204,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,4.5,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,Saf-F-W-W,W,2,4,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,12,0,3.605551275463989,NA,0.9102116857977729,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,6,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,Saf-Mi-W,W,2,3,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,9,0,2.6457513110645907,NA,0.780158557549575,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,4.5,Y,2
16,"Anderson et al., 2007",43.986856,-102.239657,B,4,4,F-W,Su-F-W-W,W,2,4,1,3,LAST,tilled,herbicides,community,NA,N,Y,8,0,4,2,12,0,4,NA,1.0467872208035236,NA,8,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,6,Y,2
17,"Liebman et al., 2008",42.020898,-93.777058,D,4,4,M-Sb,sTr/A-A-M-Sb,Sb,2,4,2,4,RM,tilled,IC,community,extraction,Y,N,6,0,4,4,16,1.4142135623730951,7,NA,NA,1.6094379124341003,6,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
17,"Liebman et al., 2008",42.020898,-93.777058,D,4,4,M-Sb,sTr/RCl-M-Sb,Sb,2,3,2,4,RM,tilled,IC,community,extraction,Y,N,6,0,2,4,12,1.4142135623730951,1,NA,NA,1.9029524215023215,6,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
17,"Liebman et al., 2008",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/A-A-M,M,2,4,2,4,RM,tilled,IC,community,extraction,Y,N,6,0,4,4,16,1.4142135623730951,7,NA,NA,0.7620194029546349,6,4,RM-last,IC,IC,temperate,temperate,2,2,4,4,N,2
17,"Liebman et al., 2008",42.020898,-93.777058,D,4,4,Sb-M,Sb-sTr/RCl-M,M,2,3,2,4,RM,tilled,IC,community,extraction,Y,N,6,0,2,4,12,1.4142135623730951,1,NA,NA,1.747924434810673,6,4,RM-last,IC,IC,temperate,temperate,2,2,2,3,N,2
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,8,sW,Be-Db-Po-sW,sW,1,4,1,4,RM,tilled,herbicides,community,germination,N,N,pooled,0,9,1,16,NA,NA,NA,-3.2386784521643803,-0.6826758806926498,12,4,RM-avg,herb_Y,herb,temperate,temperate,4,3,9,16,Y,2
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,8,sW,Be-Db-Po-sW,sW,1,4,1,4,RM,tilled,herbicides,community,NA,N,N,pooled,0,9,1,16,NA,NA,NA,-0.5721786826634891,NA,11,12,RM-avg,herb_Y,herb,temperate,temperate,4,3,9,16,Y,6
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,4,sW,Db-Po-sW-Be-sW,sW,1,5,1,4,RM,tilled,herbicides,community,germination,N,N,pooled,0,9,1,20,NA,NA,NA,-2.5455312716044354,-0.8525749174880474,12,4,RM-avg,herb_Y,herb,temperate,temperate,4,3,9,20,Y,2
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,4,sW,Db-Po-sW-Be-sW,sW,1,5,1,4,RM,tilled,herbicides,community,NA,N,N,pooled,0,9,1,20,NA,NA,NA,-0.3448404862917295,NA,11,4,RM-avg,herb_Y,herb,temperate,temperate,4,3,9,20,Y,2
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,8,sW,Po-Db-sW,sW,1,3,1,3,RM,tilled,herbicides,community,germination,N,N,pooled,0,4,1,9,NA,NA,NA,-3.2386784521643803,-0.9384645893684771,12,4,RM-avg,herb_Y,herb,temperate,temperate,3,2,4,9,Y,2
18,"Blackshaw et al., 2015",50.099254,-112.150692,B,4,8,sW,Po-Db-sW,sW,1,3,1,3,RM,tilled,herbicides,community,NA,N,N,pooled,0,4,1,9,NA,NA,NA,-0.5160797850504732,NA,11,20,RM-avg,herb_Y,herb,temperate,temperate,3,2,4,9,Y,10
19,"Anderson, 2007",44.311964,-96.79755,D,4,4,Sb,sR-W-Sb-Sb,Sb,1,4,1,3,LAST,tilled,herbicides,single species,NA,N,N,3.5,0,4,1,12,0,6.164414002968976,NA,-1.2992829841302609,NA,3.5,4,LAST,herb_Y,herb,temperate,temperate,3,2,4,12,Y,2
19,"Anderson, 2007",44.311964,-96.79755,D,4,4,Sb,W-Sb-Sb-Sb,Sb,1,4,1,2,LAST,tilled,herbicides,single species,NA,N,N,3.5,0,1,1,8,0,6.531972647421808,NA,-0.45198512374305744,NA,3.5,4,LAST,herb_Y,herb,temperate,temperate,2,1,1,8,Y,2
